sampleID_NGI	sampleID_HISTORICAL	sampleID_FIELD	sampleID_LAB	dataset	lab_sample_type	country	biological_spikes	artificial_spikes	sample_metadata_file	lysate_rack_ID	lysate_well_ID	dna_plate_ID	dna_plate_well_ID	sequencing_batch	sequencing_batch_NGI	notes_sequencing	study_accession_ENA	sample_accession_ENA	experiment_accession_ENA	run_accession_ENA
P27359_1001	FL054_L104912	SU41WX	L104912	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019.tsv	FL054	A1	3000491392	A1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375623	ERX11435929	ERR12052708
P27359_1002	FL054_L104913	SWGMUL	L104913	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019.tsv	FL054	A2	3000491392	A2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375669	ERX11435930	ERR12052709
P27359_1003	FL054_L104914	SFWSQK	L104914	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019.tsv	FL054	A3	3000491392	A3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375409	ERX11435931	ERR12052710
P27359_1004	FL054_L104915	SBHQUR	L104915	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019.tsv	FL054	A4	3000491392	A4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375355	ERX11435932	ERR12052711
P27359_1005	FL054_L104916	SPZAJF	L104916	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019.tsv	FL054	A5	3000491392	A5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375545	ERX11435933	ERR12052712
P27359_1006	FL054_L104917	SQS5YY	L104917	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019.tsv	FL054	A6	3000491392	A6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375560	ERX11435934	ERR12052713
P27359_1007	FL054_L104918	SINRSE	L104918	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019.tsv	FL054	A7	3000491392	A7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375442	ERX11435935	ERR12052714
P27359_1008	FL054_L104919	SNLWEX	L104919	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019.tsv	FL054	A8	3000491392	A8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375527	ERX11435936	ERR12052715
P27359_1009	FL054_L104920	S7ZVVB	L104920	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019.tsv	FL054	A9	3000491392	A9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375322	ERX11435937	ERR12052716
P27359_1010	FL054_L104921	SS19F9	L104921	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019.tsv	FL054	A10	3000491392	A10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375590	ERX11435938	ERR12052717
