sampleID_FIELD	trapID	sampleID_LAB	biomass_grams	placing_user	placing_time	placing_date	collecting_user	collecting_time	collecting_date	duration_min	trap_condition_collection	processing_group
SQI8FH	TEE8KA	L104727	2.7444	Analalava	09:37:23_AM	1/4/2020	Analalava	11:48:58_AM	8/4/2020	10212	acceptable	Sweden
SKKHEJ	TDY8SA	L104737	6.4204	Anjozorobe	12:14:40_PM	6/11/2019	Anjozorobe	12:21:22_PM	13/11/2019	10087	good	Sweden
SMP7JM	TRGIDB	L104738	4.0234	Mananara	05:45:00_PM	4/3/2020	Mananara	02:00:00_PM	11/3/2020	9855	good	Sweden
SVJHHA	TRGIDB	L104739	2.5364	Mananara	11:00:00_AM	24/6/2020	Mananara	11:00:00_AM	1/7/2020	10080	good	Sweden
SBPJD4	TTFJBN	L104728	1.6134	Maromizaha	07:05:00_PM	17/6/2020	Maromizaha	05:05:00_PM	24/6/2020	9960	good	Sweden
SPQGXG	TK4SS2	L104729	0.8344	Bekopaka	08:53:23_AM	26/2/2020	Bekopaka	10:24:03_AM	4/3/2020	10171	good	Sweden
SF4JYX	T4ZF4M	L104730	0.5024	Isalo	06:22:14_PM	15/7/2020	Isalo	01:13:36_PM	22/7/2020	9771	good	Sweden
SHWTJS	TR4LDL	L104731	3.3404	Mahavavy	02:24:24_AM	22/4/2020	Mahavavy	02:56:26_AM	29/4/2020	10112	good	Sweden
SS5DDZ	T4ZF4M	L104732	1.2134	Isalo	09:11:21_AM	14/8/2019	Isalo	08:46:59_AM	21/8/2019	10056	good	Sweden
S13NDZ	TDY8SA	L104733	8.4174	Anjozorobe	12:54:21_PM	4/12/2019	Anjozorobe	12:14:50_PM	11/12/2019	10040	good	Sweden
S8HTDP	THYGHQ	L104735	2.7094	Kirindy_Mitea	10:12:38_AM	6/11/2019	Kirindy_Mitea	11:22:21_AM	13/11/2019	10150	good	Sweden
S6Q34Q	TKDVTA	L104736	3.3504	Tsitongambarika	11:15:56_AM	6/11/2019	Tsitongambarika	01:32:36_PM	13/11/2019	10217	good	Sweden
SW6EUE	TEGSKQ	L104740	2.9974	Ambatovy	04:28:31_AM	14/8/2019	Ambatovy	07:35:15_AM	21/8/2019	10267	good	Sweden
SH3D43	TFBCWJ	L104749	1.8294	Tsitongambarika	11:15:00_AM	15/7/2020	Tsitongambarika	09:20:00_PM	22/7/2020	10685	good	Sweden
SFZKC2	TUAPDE	L104750	4.1704	Montagne_d'Ambre	09:47:28_AM	22/4/2020	Montagne_d'Ambre	08:57:51_AM	29/4/2020	10030	poor	Sweden
SA74Q7	TN1QSL	L104751	5.6864	Baie	04:01:16_AM	15/1/2020	Baie	04:00:39_AM	22/1/2020	10079	good	Sweden
STSCVG	TK4SS2	L104741	1.6844	Bekopaka	02:35:44_PM	11/9/2019	Bekopaka	04:00:53_PM	18/9/2019	10165	good	Sweden
SD4PC3	TEYXBT	L104742	3.5084	Maromizaha	04:34:02_AM	16/10/2019	Maromizaha	05:40:16_AM	23/10/2019	10146	good	Sweden
SDUEDF	TEE8KA	L104743	3.1944	Analalava	09:42:49_AM	26/2/2020	Analalava	07:30:18_AM	4/3/2020	9947	good	Sweden
SMRZDA	TEE8KA	L104744	2.2934	Analalava	03:27:30_PM	16/10/2019	Analalava	02:47:08_PM	23/10/2019	10040	good	Sweden
SVNIIT	TEYXBT	L104745	3.7934	Maromizaha	04:30:34_AM	25/3/2020	Maromizaha	04:24:14_AM	1/4/2020	10074	good	Sweden
SYGUFX	T9VS8I	L104746	3.3564	Masoala	04:53:21_AM	16/10/2019	Masoala	01:49:29_AM	23/10/2019	9896	poor	Sweden
